league,season,team,player,nation,pos,age,mp,starts,minutes,nineties,goals_against,ga_per90,shots_on_target_against,saves,save_pct,clean_sheets,cs_pct,pks_faced,pks_allowed,pen_saves,pks_missed_by_opp,per90_saves,per90_cs
ENG-Premier League,2526,Sunderland,Robin Roefs,NED,GK,23-130,35,35,3150,35.0,46,1.31,151,108,70.9,10,28.6,3,2,1,0,3.085714285714286,0.2857142857142857
ENG-Premier League,2526,Tottenham Hotspur,Antonín Kinský,CZE,GK,23-075,7,7,630,7.0,7,1.0,16,10,62.5,2,28.6,1,1,0,0,1.4285714285714286,0.2857142857142857
ENG-Premier League,2526,Tottenham Hotspur,Guglielmo Vicario,ITA,GK,29-232,31,31,2790,31.0,50,1.61,131,83,63.4,7,22.6,2,2,0,0,2.6774193548387095,0.22580645161290322
ENG-Premier League,2526,West Ham United,Alphonse Areola,FRA,GK,33-089,20,20,1800,20.0,37,1.85,108,76,70.4,0,0.0,6,5,0,1,3.8,0.0
ENG-Premier League,2526,West Ham United,Mads Hermansen,DEN,GK,25-320,18,18,1620,18.0,28,1.56,81,53,66.7,7,38.9,1,1,0,0,2.9444444444444446,0.3888888888888889
ENG-Premier League,2526,Wolves,Daniel Bentley,ENG,GK,32-318,3,3,270,3.0,7,2.33,13,7,53.8,0,0.0,1,1,0,0,2.3333333333333335,0.0
ENG-Premier League,2526,Wolves,José Sá,POR,GK,33-130,23,23,2070,23.0,37,1.61,99,65,65.7,4,17.4,3,3,0,0,2.8260869565217392,0.17391304347826086
ENG-Premier League,2526,Wolves,Sam Johnstone,ENG,GK,33-063,12,12,1080,12.0,24,2.0,62,39,62.9,0,0.0,1,1,0,0,3.25,0.0
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,29-289,38,38,3420,38.0,56,1.47,148,97,65.5,5,13.2,5,5,0,0,2.5526315789473686,0.13157894736842105
ESP-La Liga,2526,Athletic Club,Alex Padilla,ESP,GK,22-268,1,1,90,1.0,4,4.0,8,4,50.0,0,0.0,0,0,0,0,4.0,0.0
ESP-La Liga,2526,Athletic Club,Unai Simón,ESP,GK,28-350,37,37,3330,37.0,54,1.46,146,97,65.1,6,16.2,6,3,2,1,2.6216216216216215,0.16216216216216217
ESP-La Liga,2526,Atlético Madrid,Jan Oblak,SVN,GK,33-140,30,30,2700,30.0,31,1.03,104,75,72.1,11,36.7,3,2,0,1,2.5,0.36666666666666664
ESP-La Liga,2526,Atlético Madrid,Juan Musso,ARG,GK,32-021,8,8,720,8.0,13,1.62,32,22,68.8,3,37.5,3,3,0,0,2.75,0.375
ESP-La Liga,2526,Barcelona,Joan García,ESP,GK,25-023,30,30,2700,30.0,21,0.7,92,74,80.4,15,50.0,3,3,0,0,2.466666666666667,0.5
ESP-La Liga,2526,Barcelona,Wojciech Szczęsny,POL,GK,36-039,8,8,720,8.0,15,1.87,35,22,60.0,0,0.0,2,1,1,0,2.75,0.0
ESP-La Liga,2526,Celta Vigo,Ionuț Radu,ROU,GK,28-364,38,38,3420,38.0,48,1.26,151,111,72.2,10,26.3,11,6,2,3,2.9210526315789473,0.2631578947368421
ESP-La Liga,2526,Elche,Iñaki Peña,ESP,GK,27-086,16,16,1440,16.0,28,1.75,81,55,67.9,4,25.0,2,2,0,0,3.4375,0.25
ESP-La Liga,2526,Elche,Matías Dituro,ARG,GK,39-019,22,22,1980,22.0,29,1.32,89,64,71.9,4,18.2,5,4,0,1,2.909090909090909,0.18181818181818182
ESP-La Liga,2526,Espanyol,Fortuño,ESP,GK,24-234,1,1,90,1.0,1,1.0,3,2,66.7,0,0.0,0,0,0,0,2.0,0.0
ESP-La Liga,2526,Espanyol,Marko Dmitrović,SRB,GK,34-123,37,37,3330,37.0,54,1.46,182,133,73.1,10,27.0,5,5,0,0,3.5945945945945947,0.2702702702702703
ESP-La Liga,2526,Getafe,David Soria,ESP,GK,33-053,38,38,3420,38.0,38,1.0,151,115,75.5,12,31.6,4,1,2,1,3.026315789473684,0.3157894736842105
ESP-La Liga,2526,Girona,Marc-André ter Stegen,GER,GK,34-027,2,2,180,2.0,2,1.0,6,4,66.7,0,0.0,0,0,0,0,2.0,0.0
ESP-La Liga,2526,Girona,Paulo Gazzaniga,ARG,GK,34-145,35,35,3102,34.5,47,1.36,158,115,72.8,6,17.1,5,4,0,1,3.3333333333333335,0.17391304347826086
ESP-La Liga,2526,Girona,Vladyslav Krapyvtsov,UKR,GK,20-336,2,1,136,1.5,6,3.97,9,4,44.4,0,0.0,1,1,0,0,2.6666666666666665,0.0
ESP-La Liga,2526,Levante,Mathew Ryan,AUS,GK,34-049,36,36,3240,36.0,56,1.56,176,124,69.9,9,25.0,4,3,1,0,3.4444444444444446,0.25
ESP-La Liga,2526,Levante,Pablo Cuñat,ESP,GK,24-029,2,2,180,2.0,5,2.5,16,11,68.8,0,0.0,0,0,0,0,5.5,0.0
ESP-La Liga,2526,Mallorca,Leo Román,ESP,GK,25-325,33,33,2970,33.0,50,1.52,142,99,69.0,4,12.1,8,6,1,1,3.0,0.12121212121212122
